Job title,Company name,Location,Description,Seniority level,Employment type,Job function,Industries
Machine Learning Research Engineer,Neural Magic,"Somerville, MA","Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning research engineer to work closely with our research team implementing deep learning research and using model compression techniques. This person identify, report on, and create new algorithms and models within the deep learning field. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to transform research ideas into product solutionsResearch and implement appropriate ML algorithms and toolsRun machine learning tests and experiments while optimizing hyperparametersPerform statistical analysis and fine-tuning using test resultsKeep abreast of developments in the fieldRequirementsProven experience as a machine learning researcher, engineer, or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsExperience with prototyping algorithms and ML pipelines in a popular ML framework such as PyTorch, TensorFlow, jax, etcExperience with training Generative models / NLG / LLMsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityMaster's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
Data Scientist - Public Sector,Clarifai,"Washington, DC","About The CompanyClarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, LLM's and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States, Canada, Argentina, India and Estonia.We have raised $100M in funding to date, with $60M coming from our most recent Series C, and are backed by industry leaders like Menlo Ventures, Union Square Ventures, Lux Capital, New Enterprise Associates, LDV Capital, Corazon Capital, Google Ventures, NVIDIA, Qualcomm and Osage.Clarifai is proud to be an equal opportunity workplace dedicated to pursuing, hiring, and retaining a diverse workforce.Your ImpactYou will be responsible for the development of custom models to solve real world problems for business and expand Clarifai's presence in the rapidly expanding AI solutions space.The OpportunityManage the development of labeled data sets Develop, analyze the performance of, and document machine learning models and the datasets on which they were trained and validatedSupport client engagements for creating custom modelsWork 3-4 days/week remotelyWork 1-2 days/week at a government site in the DC areaRequirementsDevelopment experience in Mac and/or Linux environmentsExperience with Python scripts and Jupyter notebooksExperience with Spark SQL and Parquet dataExperience with Gitlab/GithubTechnical writing skillsCloud computing skills (AWS, GCP)College degree BS (computer science, math, physics)Live in the greater DMV (DC, Maryland, Virginia) areaHold or recently held a Secret security clearance with the ability to obtain TS/SCIExperience manipulating data on government computing infrastructureDeployment in cleared government facilities Great to HaveMaster of Science degree or higher Machine learning development experienceExperience with Docker, Kubernetes, Kubeflow, MLflow, or other MLops environmentsTS/SCI security clearance",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist with AL & ML,Saransh Inc,"Los Angeles, CA","Experience in LLM and Generative AI Experience in Document extraction/chat Strong experience in Python  Experience in building and maintaining open-domain or health care domain-specific ontologies Understanding of knowledge graphs Experience working in a cloud-native environment such as AWS Should have hands on experience with AWS Neptune or Neo4J graph database Have experience in building graph-based ontology from scratch and working with structured and unstructured data Experience supporting ML models development on big data infrastructure (on knowledge graph would be a bonus) Hands on python to build knowledge Graph/ontologies. Experience with AWS Tex tract, Comprehend Medical (nice to have)Need candidates who have strong code level experience in Python – Document ExtractionNote: Client would prefer candidates who are 9/10 on Python, LLM, Generative AI and Document ExtractionTENXE project - Knowledge Graph (AI-ML)",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Machine Learning Engineer,Arthur,"New York, United States","About ArthurAt Arthur, we are deeply passionate about building technology to make AI understandable, effective, and fair. Arthur makes machine learning work for enterprises through performance monitoring, explainability, and bias detection. We’re built by AI experts and backed by world-class, diverse investors.This position is a rare (and fun!) opportunity to help shape the future of AI and its real-world impact. We are an equal opportunity employer and believe strongly in front-end ethics: building a company and industry where strong performance and a positive human impact are inextricably linked.About The RoleArthur is looking for multiple product-focused Machine Learning Engineers to join our team, to operate with autonomy and with the support of the team to lead and build out our product vision.What You'll DoFocus on ML, especially LLMs, model performance, security, and robustness: make LLM and model-based systems respond accurately, quickly, and comprehensively to general and task-specific interactions by both natural and adversarial users – for example, checking veracity of responses, hardening against prompt injection, query-based routing to different models, and generation of evaluation datasetsBuild out new techniques and tooling in ML model monitoring: data drift detection, high-dimensional density estimation, time series anomaly detection; detection and mitigation of issues in fairness and bias in ML algorithmsIdentify, create, and deploy large-scale explainability methods for tabular, image, text, and other data – including human-centered explanations for generative AI applicationsRun machine learning experiments independently and in collaboration with product and research teams, and communicate results to internal stakeholders as well as the broader ML community via publications in top-tier conferences, industry conference presentations, deep technical blogs, and eventsRequirementsWhat we're looking for3-5+ years of professional experience in Machine Learning, or in Engineering providing strong ML support, or in Data Science/Statistics with very strong Engineering expertiseExperience with deploying ML models to production and with comprehensive model risk managementDeep interest in LLMs (to start) and multimodal generative models (soon!), specifically around measuring bias or performanceEnthusiasm for staying up to date on the latest developments in the field – we operate in a nascent space with plenty of signal and plenty of noise coming from arXiv and open source projectsUnderstanding of software engineering best practices, version control, and containerizationExperience with deep learning frameworks, such as JAX, Tensorflow, or PyTorch, in addition to deep experience writing production-grade PythonKnowledge of and ability to (re)learn statistical methods and contemporary ML algorithmsCustomer empathy and a willingness to engage directly with customers and stakeholdersExperience with public cloud services, such as AWS, Google Cloud, or AzureYou might also have (nice to have)Experience or interest in interactive machine learning, HCI, human-centered ML and LLM evaluation, etcExperience or interest in explainability and fairness of recommender systemsA body of ML-focused publications (we tend to have a presence at NeurIPS/ICML, KDD, AAAI, CHI, and the newer responsible AI conferences like SaTML, FAccT, and AIES), technical blogging, and/or open source projectsA Masters or PhD in a quantitative field – we’re not sticklers for degrees (many of us have Masters/PhDs, so we intimately understand this isn’t the only way to be a domain expert)BenefitsWhat to expect at ArthurTeammates who value curiosity, hard work, collaboration, and creative problem-solving -- and good swagA team of professionals who are passionate about our work and making a positive impact through AIA caring culture; we value and prioritize our team’s physical and mental health, encouraging and celebrating life outside of workAutonomy to pursue your role and interests with room to grow, with a team behind you that always has your backJoy, humor, and a little dose of healthy competition (in our business, we win as a team; on company game night, may the best Arthurian win…)We offer Competitive compensation plus medical, dental, and vision insurance, and a 401K (with matching)Our target base salary range for this role is $160,000 - $230,000, based on your experience and how your skills align with role requirementsEquity in what we’re building together, backed by some of the most respected VCs in the industryA flexible learning and development budget: we’ll support ways to learn and grow in the areas that matter to youHighly discounted wellness and fitness benefitsFlexible PTO with vacation minimums, which we really want you to take and enjoyThe ability to work in a highly flexible hybrid environment with our team from home, and from our NYC office",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,CVS Health,"New York, NY","Bring your heart to CVS Health. Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.Position SummaryWithin the data science department (“Analytics& Behavior Change”), you’ll have the opportunity to drive the next level of PBM (Pharmacy Benefit Manager) member experience and service quality at a leading national healthcare brand.We’re looking for aspiring analytical enthusiasts to drive efficiency and growth in Caremark's PBM business, using advanced analytics, predictive modeling, and statistics. We expect the candidate to leverage business acumen and good data storytelling to help Caremark improve member well-being and its product and services. PBM Analytics is one of the key teams within the Analytics& Behavior Change department and partners with the PBM leadership to drive innovation and develop cutiing edge solutions.This is a hands-on data scientist role, with a combination of business / stakeholder consulting and, data analysis (technical coding, including using machine learning methods).Required QualificationsStrong SQL skills and experience in programming Python (strongly preferred) or RAbility to communicate technical concepts and implications to non-technical audiences, including experience creating communication materials (e.g., memos, slide decks, etc.)Preferred QualificationsA strong drive to explore data and make a business impact by applying data science to address specific business problems and the curiosity to dive deepExperience with healthcare or Pharma data, or the desire to be a data explorerStrong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sourcesProactively identify and mitigate roadblocks and think about solutionsFamiliarity with Google Cloud Platform (GCP)Prefer Master’s in a quantitative fieldEducationBachelor’s degree in quantitative field, or an equivalent combination of formal education and experience.Master's degree in quantitative field or MBA strongly preferred.Pay RangeThe typical pay range for this role is:$80,500.00 - $170,000.00This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company’s 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (“PTO”) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Companypolicies.For more detailed information on available benefits, please visitjobs.CVSHealth.com/benefitsCVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.CVS Health is committed to recruiting, hiring, developing, advancing, and retaining individuals with disabilities. As such, we strive to provide equal access to the benefits and privileges of employment, including the provision of a reasonable accommodation to perform essential job functions. CVS Health can provide a request for a reasonable accommodation, including a qualified interpreter, written information in other formats, translation or other services throughColleagueRelations@CVSHealth.comIf you have a speech or hearing disability, please call 7-1-1 to utilize Telecommunications Relay Services (TRS). We will make every effort to respond to your request within 48 business hours and do everything we can to work towards a solution.",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
Product/Data Scientists,Upwork,"Canutillo, TX","Our team is looking for a Data Scientist to support our client's product initiatives within their Employer Jobs-Growth team. We are looking for a data/product scientist to work on large sets of analyses around attributes within our organization, utilities, running ad-hoc analysis, building dashboards, etc.- Running ad hoc analysis- Building dashboards- Pulling data- Data science or statistics background - Prefer more data science vs data analysis - more technical type work- SQL- Python experience (python is not a hard requirement, more of a preference)- Machine Learning is a plus not a requirement- Strong communication skills- Experience within the marketplace type organization is preferred.Must be able to support CST hours.",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,CINQCARE,"Washington, DC","CINQCAREOverviewPosition DescriptionCINQ AI is a business unit of CINQ Care Inc. tasked with improving patient outcomes through the use of Artificial Intelligence. CINQ AI operates a portfolio of AI solutions that are uniquely engineered to serve Black and Brown patient populations. Our core capability is an event-based cognitive service capable of optimizing patient care pathways and member engagement to promote specific behaviors from patients, providers, and caretakers that result in higher-quality care.General Duties: The Machine Learning Engineer will directly contribute towards the goals of the company by using the expertise in data analysis, statistics, machine learning, and domain knowledge to extract valuable insights, solve complex problems, and inform data-driven decision-making. The person should be responsible for designing, developing, and deploying machine learning models and systems. The ideal candidate should also play an important role in bridging the gap between data science and software engineering, focusing on building scalable and production-ready machine learning solutions.This position will have the following responsibilities:Data Engineering: Collect, preprocess, and clean data to make it suitable for machine learning tasks. This may involve data wrangling, feature engineering, and data augmentation.Model Development: Design, build, and train machine learning models using various algorithms and frameworks (e.g., Correlation, Regression, scikit-learn, TensorFlow, PyTorch) to solve specific business problems.Feature Selection: Identify relevant features and optimize them for model performance and efficiency.Quickly develop and iterate on prototype models to test various approaches and hypotheses. This may involve using libraries and frameworks like scikit-learn, TensorFlow, or PyTorchModel Evaluation: Assess model performance using appropriate metrics, conduct cross-validation, and fine-tune hyperparameters to improve model accuracy and generalization.Model Deployment: Deploy machine learning models into production environments, often using containerization (e.g., Docker) and orchestration tools (e.g., Kubernetes). Scalability: Ensure that machine learning solutions can handle large datasets and high traffic loads by optimizing code and architecture. Monitoring and Maintenance: Implement monitoring and logging systems to track model performance, and proactively address issues that may arise in production.Data Visualization: Creation of self-serve analytics tools using to democratize access to the analytical datasets and corresponding models as they are developed. Development may occur using SaaS platform or though the development of high-level web applications.Documentation: Creation of data dictionaries, code repositories and other artifacts needed to transition prototypes into development by engineering teams.QualificationsThe Machine Learning Engineer should have the following qualifications:Education. Undergraduate degree in a quantitative field including Economics, Statistics, Data Science, Computer Science, Machine Learning, Engineering, or PhysicsExperience. 2-3 years’ experience in relevant technical domain (Machine Learning, Statistics, Econometrics, Predictive Analytics, Data Science, Artificial Intelligence). Experience in management consulting or new company environments is highly attractive. Prior experience in healthcare is not required. Entrepreneurial. CINQ seeks to fix gaps that have persisted for generations in the delivery of care to Black and Brown populations. This position is accountable for ensuring CINQ is positioned to innovatively deliver on its promise through the use of artificial intelligence.Communication. Excellent verbal and written communication skills. Ability to clearly articulate and present complex concepts models in an accessible manner to CINQ’s team, investors, partners, and other stakeholders.Technical Mid-level proficiency in multiple data related domains including Database Management, Machine Learning (Regression, Classification, Time Series, NLP), Data Visualization (Tableau), and familiarity with the environments where they are deployed (Google Cloud, AWS or Azure).Programming Skills: Proficiency in programming languages such as Python or R, as well as experience with relevant libraries and frameworks.Machine Learning Knowledge: Strong understanding of machine learning algorithms, techniques, and concepts.Relationships. Ability to build and effectively manage relationships with business leaders and external constituents.Culture. Excellent judgement, impeccable ethics, and a strong team player; desire to succeed and grow in a fast-paced, demanding and entrepreneurial Company.Compensation:$114,000 - $127,000 annuallyLocationCINQ Care Inc. has offices in Washington, D.C. and New York City. The preferred location for this role is in the Washington, D.C / Maryland / Virginia area.Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.Powered by JazzHRxzRZQ7972s",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist, Product Analytics - Machine Learning",Meta,"New York, NY","As a Machine Learning Data Scientist at Meta, you will have the opportunity to do groundbreaking applied machine learning work that will shape the industry and the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Reality Labs). By applying your Machine Learning knowledge and technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges in ML systems through insights as well as prototyping ML solutions. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond. In contrast to most ML engineering roles, ML in product analytics allows you to work out ML solutions for broader less defined problems where you can use not just ML knowledge but also strong analytical skills to break down complex problems into well-learnable parts.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches including Machine Learning to test them. You will research challenging ML questions to inform experimentation and can build ML prototypes. .Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.Data Scientist, Product Analytics - Machine Learning Responsibilities:Partner with cross-functional engineering and product teams to derive quantitative understanding of Meta’s ML infrastructure and ML applications to inform future strategy and design ML solutions for complex problems.Define, understand, and test opportunities and levers to improve the product through ML models and applications, and drive ML-modeling roadmaps through your insights and recommendations.Build ML prototyping solutions.Work with large and complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches.Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products that serve billions of people and hundreds of millions of businesses.Identify and measure success of product efforts through goal setting, forecasting, and monitoring of key product metrics to understand trends.Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations.Partner with Product, Engineering, and cross-functional teams to inform, influence, support, and execute product strategy and investment decisions.Minimum Qualifications:A minimum of 6 years of work experience in analytics (minimum of 4 years with a Ph.D.) with a focus on one of the following: ML Modeling, Ranking, Recommendations, or Personalization systemsBachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience.Experience with applying machine learning techniques to big data systems (e.g., Spark and Hadoop) with TB to PB scale datasets.Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)Preferred Qualifications:Masters or Ph.D. Degree in a quantitative field.About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,STEMBoard,"Tampa, FL","STEMBoard is seeking a data scientist with knowledge in programming for integrating complex models and using advanced software library frameworks to distribute large, clustered data sets. The data scientist work with a team of data scientists and engineers that collect and arrange data in a form that is useful for analytics. A knowledge of machine learning is also desired to build efficient and accurate data pipelines to meet the needs for downstream users such as data scientists to create the models and analytics that produce insight.Principal Duties and Responsibilities:A data scientist will have skills sets of both data analysts and data engineers. Data scientists are responsible for designing, implementing, and maintaining a data pipeline. In addition, data scientists shall interpret and analyze complex sets of data, as well as plan, execute, and manage ML projects with cloud-native platforms and advanced ML solutions. They understand some of the most challenging processes, technologies, and can leverage a vast array of methodologies in the field, such as data mining, natural language programming, and machine learning.Data scientists must have a combination of skills that includes programming, mathematical modeling, statistics, and domain knowledge. They must combine an advanced math and statistics background with programming, domain knowledge, and communication skills to analyze data, create applied mathematical models, and present results in a form useful to the organization. They must also be able to understand and manipulate structured and unstructured large data sets, which requires proficiency in distributed SQL programming, relational and non-relational data queries, general programming languages (such as Python and R,) and machine learning techniques. Apply and develop scientific methodology, statistics, and algorithms to discover and frame relevant problems, hypotheses, and opportunitiesDevelop predictive and prescriptive modeling, natural language processing (NLP), Robotic Process Automation (RPA), text mining and processing, clustering, forecasting methods, and other advanced statistical techniques. Design and automate processes to facilitate the manipulation and analysis of data. Manage and integrate data across dissimilar data sets. Analyze large-scale structured and unstructured data. Use frameworks such as Spark and Hadoop to conduct large-scale data processing. Perform statistical modeling and create data visualizations using products like Tableau, Microsoft Power BI and R Shiny. Research, design, and implement algorithms to solve complex problems. Program using R, Python (NumPy, SciPy, Pandas) or similar analytical languagesPerform data engineering, data processing and modeling techniques using cloud-based data management, data science, and ML platforms such as Databricks, IBM Cloud Pak, Cloudera, and Snowflake. Communicate complex concepts and hypothesis to a non-technical audience through digital storytellingRequirements Experience: 1+ years of experience with software engineering, data science or related experience.  Education: Bachelors or degree in STEM with a preference towards Data Science, Computer Science, or Software Engineering Tools: Proficient with one or more programming languages (Java, C++, Python, R, etc.) Security Clearance: minimum of TOP SECRET levelProficient in Agile Development and Git Operations. Demonstrated experience applying data science methods to real-world data problems. BenefitsHealthcare, Vision, and Dental Insurance20 Days of Paid Leave401K MatchingTraining/Certification ReimbursementShort term/Long term disabilityParental/Maternity LeaveLife InsuranceSTEMBoard is committed to hiring and retaining a diverse workforce. All qualified candidates will receive consideration for employment without regard to disability, protected veteran status, race, color, religious creed, national origin, citizenship, marital status, sex, sexual orientation/gender identity, age, or genetic information. Selected applicant will be subject to a background investigation. STEMBoard is an Equal Opportunity/Affirmative Action employer.",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data Scientist,ZymoChem,"San Leandro, CA","About ZymoChemZymoChem is breakthrough science for a fossil-free future. We accelerate the transition to a real-zero economy by developing bio-based materials for everyday products. Our platform is powered by proprietary carbon conserving (C2) microbes that convert renewable feedstocks into high-value materials while radically minimizing CO2 loss during the production phase.ZymoChem has raised >$20 million to-date that includes funding from premier domestic & international venture capital firms, multiple government awards – most recently two ARPA-E awards – and partnerships with world-leading chemicals companies. With a plan to double our team in 2023, we seek candidates who are motivated by science & innovation and have a passion to push the boundaries of materials performance. We are collaborative, multidisciplinary, and relentlessly committed to creating a chemicals & materials industry in tune with the 21st century.Our Mission: To catalyze a real-zero economy with drop-in, bio-based solutions.Our Vision: To live in a world in which the goods we depend on everyday are bio-manufactured from 100% renewable materials and designed for a sustainable economy - without compromise.Values: Lead with Compassion, Aspire Collectively, Evolve Continuously, Innovate with Impact, and Scale SustainablyPosition SummaryThe Data Scientist position for Laboratory Information Management System (LIMS) will build-out and implement the LIMS function at ZymoChem, Inc. This position is responsible for the design, development, and implementation of LIMS solutions and similar data management to support the research teams. The Data Scientist position collaborates with various departments to process the scientific data, implement feature requests, update LIMS workflows, and build scalable solutions for the overall data architecture.ResponsibilitiesDesign, develop, and manage the LIMS platform. Develop overall LIMS strategies and roadmaps to integrate workflows. Track, and implement stakeholders needs, challenges, requirements and goals and work to troubleshoot any conflicts in requests. Develop custom scripts and tools to create process and data management workflows in LIMS. Identify any data quality issues and create and deliver a resolution.Build and implement data processing, data automation, and reporting tools.Evaluate and manage relationships for any external LIMS support. Collaborate internally with other departments and team members to optimize workflows and train/support users on system usage and best practices.Update SOPs and process instructions for ease of use. Other duties as assigned.QualificationsRequires a BS in Computer Science, Life Science, Engineering, or a related discipline. MS or PhD in similar fields preferred. Minimum of 4 years work experience as an analyst or software engineer within a scientific or laboratory environment required. Start-up experience preferred. Experience managing Laboratory Information Management System (LIMS) platform (i.e. scientific data management, sample inventory, assay results) in a biotech or similar industry. Experience with data visualization tools preferred. Solid knowledge of a wide range of laboratory instrumentation and assay measurement types. Strong communication skills including, user training/ experience and writing SOPs and reports. Strong knowledge of programming languages (e.g., Python, C#, Java), Unix/Linux/cloud environments, SQL and noSQL database query languages.Capable of working collaboratively in a team environmentStrong analytical skills, problem solving skills, attention to detail, and strong computer skills (Google Suite, Benchling, Microsoft Office, Microsoft Project, Asana, etc.)Benefits And CultureZymoChem offers full-time employees a competitive base salary, a comprehensive benefits package, and a company culture that’s collaborative, multidisciplinary, and committed to a big vision for positively impacting the world. We seek candidates who are motivated by our mission and are equally passionate toward pushing the boundaries to build a sustainable future. Located in the vibrant East Bay area of San Francisco, Gate 510 is a state-of-the-facility with many in-house and nearby amenities.Full-time opportunities at ZymoChem come with:Competitive salary range of $140,000-180,000 depending on experience. Comprehensive benefits package that includes company stock options, 401(k) retirement plan (matching starting 1/1/24), medical, dental, and vision healthcare coverage, and life and long-term disability insuranceAdditional benefits including FSA, commuter, and supplemental life insuranceFlexible time off policy with 15 days Paid Time Off per year and 10 paid company holidays per yearRelocation assistance may be agreed upon as wellIf this opportunity sounds exciting and aligns with your career aspirations, we want to hear from you! Please send your resume/CV and a cover letter through our website job posting.Legal authorization to work in the United States is required. ZymoChem may agree to sponsor an individual for an employment visa immediately or in the future if there is a shortage of individuals with particular skills for this job. In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States, and to complete the required employment eligibility verification form upon hire.Powered by JazzHRWGmVNWe43z",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
