Link,Job title,Company name,Location,Salary,Description,Seniority level,Employment type,Job function,Industries
https://www.linkedin.com/jobs/view/data-scientist-at-focuskpi-inc-3752242119?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=ew4DDbFKZ5VW1ZHpcx7HVQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist,"FocusKPI, Inc.","San Bruno, CA",not found,"FocusKPI is seeking Data Scientists to enable deep media insights through advanced analytics for our client, one of the largest retailers/e-commerce companies in the U.S.Work Location: Remote in the U.S. Duration: 6 months contract with potential for extension and conversion, depending on budget and performancePay range: $50/hour to $70/hourResponsibilities:Perform hands-on coding to retrieve and analyze large datasets using Python and SQLIntegrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholdersManage and streamline data extraction process with great attention to detailsAssess the potential usefulness, validity, and rigor of new data sourcesWork with cross-functional team to ensure that the quality of the data are of the highest standardHelp with media mix models to connect the impact of marketing tactics and business short-term and long-term outcomesQualifications:Experience working with Marketing Mix Modeling (MMM) and/or Multi-Touch Attribution Models (MTA) is a mustPh.D. degree in statistics/mathematics, engineering, computer science, economics, or a related field3+ years of industry experience in data, analytics, and data science roleExperience with advertising, measurement, and/or digital marketing analyticsExperience with advertising technology platforms, Ad servers, DSPs, DMPs, etc.Proficient coding skills (SQL/Python/R)Deep knowledge of relational database capabilities and experience with big data technologies (Hive/Hadoop)Proficient BI/BA data visualization tools (Tableau, PowerBI, ThoughtSpot, Looker, etc.Experience with Modeling and Machine learningExperience with cloud technologies such as GCP, AWS, AzureExperience in integrating, structuring, and analyzing large amounts of data from diverse sourcesStrong project management skills and attend-to-detail documentation skills.Strong written and verbal communication with the ability to communicate complex technical topics clearly to a range of audiences and to ‘tell a story that provides insight into the businessPassion for working in a fast-paced agile environment.A collaborative mindset and sense of curiosityExperience with predictive modeling algorithms and optimization techniquesExperience applying statistics to business problemsExperience with PySpark is a plus Thank you!FocusKPI Hiring TeamFounded in 2010, FocusKPI, Inc. (FocusKPI) is a data science and technology firm specializing in predictive analytics practice and methodologies. FocusKPI is a US company headquartered in Silicon Valley, California with an East Coast office in Boston, Massachusetts.NOTICE: Please be aware of fraudulent emails regarding job postings, job offers and fake checks. FocusKPI's recruiting team will strictly reach out via @focuskpi.com email domain. If you have received fraudulent emails now or in the past, please report it toThe domain @focuskpijobs.com is fraudulent and not related to FocusKPI. Please do not not reply or communicate to anyone with @focuskpijobs.com.Powered by JazzHRLJ3EgzfIaZ",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/senior-data-scientist-innovation-at-domino-s-3755534339?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=wdQKgXwEBgwfhAvxVxLWRQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,Senior Data Scientist - Innovation,Domino's,"Ann Arbor, MI",not found,"Job DescriptionSummary: The Analytics & Insights team has been a key contributor to driving Domino’s industry-leading growth by pairing strategic thought leadership with the latest analytic techniques in the fields of data science, machine learning, artificial intelligence, and primary research. The A&I team leverages their skills to drive outstanding consumer and employee experiences to fuel future growth.The Innovation Data Science team works to create best-in-class technology-driven customer and team member experiences in & around stores and during delivery by continuously testing new concepts, platforms, and technologies. As a data scientist on this team, you will work cross-functionally with the digital innovation, technology, and operations innovation teams to identify opportunities for innovative tech solutions and generate insights that inform our national marketing campaigns. Leveraging your knowledge of statistics and machine learning, combined with creative analytical thinking and the ability to identify actionable business recommendations will enable us to continue to build Domino’s techquity. You will be solving difficult, non-routine problems and developing the machine learning and artificial intelligence components of Domino’s next-generation smart applications.For this role, we are seeking a creative problem solver with strong analytic and programming skills. The candidate should be skilled in using multiple data sources, SQL, Python, and machine learning algorithms. The ideal candidate will need to collaborate on advanced machine learning model design and testing and have strong communication skills to interpret model results and impacts for our clients. This role will also require partnering with IT specialists on data/model staging, integrating with existing platforms, and improving technical and operational algorithm/data uses. Candidate will design and build simulation experiments to model and optimize business and operations processes.Responsibilities And DutiesDevelop a strong understanding of the business, the challenges, and demonstrate the ability to identify business opportunities that can be acted uponResearch, develop, and implement advanced machine learning solutions and statistical analysis techniques to solve complex business problems, provide meaningful recommendations and actionable strategies to internal stakeholdersSimulate, analyze, and optimize operations processes using AnyLogic, Python, and ROwn data science & analytical solutions end-to-end, from identifying business problems, crafting ML-based solutions, socializing proposed architecture with partners, implementing solutions, tracking results, and presenting to stakeholdersConsult and share novel approaches of machine learning with other team membersEfficiently prioritize competing tasks in dynamic business environmentDevelop, train, and test models for object detection, classification, and segmentation on images of different quality including noisy and low-quality imagesServe as a mentor and consultant guiding best practices in code review, data processing, modeling, AI, and ML developmentUse visualization, reporting and other tools to improve the ways in which our team accesses and interprets datasetsQualificationsBachelor's degree in Statistics, Mathematics, Engineering, Computer Science, or related field4+ years of experience in a quantitative or technical work environmentStrong experience solving business problems with data science, emphasis on business outcomesProficient in SQLProficient in R or PythonKnowledge of a variety of predictive modeling, machine learning and generative AI techniques (classification, predictive, artificial neural networks, image recognition, LLMs, etc.) and their real-world applicationKnowledge of advanced statistical techniques and concepts (regression, probability, properties of distributions, statistical tests, etc.) and experience with applicationsAbility to self-start and self-direct work in a dynamic, cross-functional environmentExcellent communication skills with the ability to engage, influence, and encourage partners and team members to drive collaboration and alignmentExperience creating engaging and compelling stories and presentations from data and effectively communicating analysis results with a diverse non-technical audienceThe following are a plus but not required:Master’s degree in related fieldExperience designing, building, and evaluating simulation models in AnyLogic or similar toolsExperience with JavaAbility to quickly learn and apply new programming languages, technologies, and frameworksAdditional InformationThis role is onsite in Ann Arbor, MI and will require full relocation for non-local candidatesAll your information will be kept confidential according to EEO guidelines.",Mid-Senior level,Full-time,Engineering and Information Technology,Restaurants
https://www.linkedin.com/jobs/view/machine-learning-engineer-at-marathon-ts-3753630905?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=hG%2Bt0NiqIlNKE%2FJQLDlOaA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,Machine Learning Engineer,Marathon TS,"Atlanta, GA",not found,"Job DescriptionOur Client, a fortune 20 company, is looking for an intellectually curious software engineer to join their team. They are looking or someone who gets ""the big picture"" and understands the tangible benefits from their work. This will be a long-term, open ended, W2'd engagement with the potential to become a FTE. The current project would be handling a workload migration from custom tooling to managed Google tooling. Mostly a migration of SQL orchestration, python orchestration and Client ops. This is not solely an Client role, it is more of a ""full picture"" type role and, based on performance, would receive more Client responsibilities.Requirement:Experience in Machine learning related field including prior lead experienceAdvanced in-depth knowledge of Predictive Analytics, Statistical modeling, advanced mathematics, data integration concepts and toolsStrong organizational, analytical, critical thinking and leadership skillsBackground in Machine Learning frameworks such as TensorFlow, SparkML or Keras, Scikit LearnProficiency in Scala, Python or an equivalent languageFamiliarity with Statistical Machine Learning models, Machine Learning concepts like Natural Language Processing, Image Processing, Recommendation Systems, etcCompany DescriptionMarathon TS provides a full range of professional services for clients that require support from professionals with specialized skills and experience in a specific technical area or subject matter. Marathon TS also provides IT solutions, including strategy, operations, transformation and mission support.Marathon TS provides a full range of professional services for clients that require support from professionals with specialized skills and experience in a specific technical area or subject matter. Marathon TS also provides IT solutions, including strategy, operations, transformation and mission support.",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
https://www.linkedin.com/jobs/view/data-scientist-at-mayvue-solutions-3734612661?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=mTgUGIpJBcpegB%2BM6g1NWw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist,Mayvue Solutions,"Pittsburgh, PA",not found,"Mayvue is seeking a Data Scientist to join our team.As a company, we are in a unique position. We have that “startup culture” but our team is comprised of experienced individuals, and we have a steady stream of business. Our hard work has led to explosive growth and we’re seeking individuals that recognize the opportunity and want to work alongside us to ensure we continue to reach our potential. In this role, you will be a key member of the company and team.This position offers both in-office (Pittsburgh, PA) and the flexibility of being remote. You tell us what works for you!Company and Team Recognitions:2023 Inc. 5000 Regionals Northeast (#123)2023 Inc. Best Places to Work2023 Fast 50 Award Recipient2023 Inc. 5000 Honoree (#3924)2023 Tech 50 Finalist: Startup & Company Culture2022 Best Places to Work in Pittsburgh2022 Tech 50 Finalist: Solutions Provider, Innovative Tech2022 PGH Fast 50 Award RecipientYou will be a good fit if:Strong background in machine learning and artificial intelligenceThe ideal candidate will leverage advanced algorithms and predictive modeling techniques to extract actionable insights from large datasetsDrive data-driven decision-making across the organizationResponsibilities:Gather, preprocess, and analyze large datasets to extract meaningful insightsIdentify trends, patterns, and anomalies in data to inform decision-makingDesign, develop, and implement machine learning models and algorithmsUtilize AI techniques to solve complex business problemsEvaluate model performance using appropriate metricsFine-tune and optimize models for maximum accuracy and efficiencyIntegrate machine learning models into existing systems and applicationsCollaborate with cross-functional teams to understand business requirements and translate them into technical solutions Document your work and contribute to our internal knowledge base Stay updated with the latest advancements in AI and MLSkills:Bachelor’s degree in Statistics, Mathematics, Economics, Engineering, Information Management, Social SciencesProven experience as a Data Scientist with a focus on AI and MLExperience/technical skill set must include relational databases and SQL; data exploration, machine learning modeling techniques/frameworks/libraries and algorithms; applied statistics; strong scripting and programming skillsFamiliarity with cloud computing platforms (e.g., AWS, Azure) is a plus.Experience with data preprocessing, feature engineering, and model selection.Excellent understanding of statistical analysis and data visualization.Strong problem-solving skills and the ability to work in a fast-paced, collaborative environment.Excellent communication and presentation skills.Benefits:Unlimited PTOLife Insurance at no cost to employeesShort-term and long-term disability at no cost to employeesPaid maternity and paternity leave Healthcare insurance (Premiums are partially paid for by Mayvue)Dental and vision at no cost to employees and dependentsOptional supplemental life insuranceReceive $1,000.00 per year for Continuous Learning AllowanceReceive 1 day paid per year as a Community Service AllowanceOnsite gym in Pittsburgh officeHealth Savings AccountEmployer contributions to your 401(k) up to 50% of contributions on the first 5% deferred.Have your favorite snacks and beverages when you work in our Pittsburgh HeadquartersHybrid/remote work availableFlexible scheduleMayvue provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.Powered by JazzHRCIAfW6aCcC",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/deep-learning-engineer-at-cyberjin-3757439590?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=G%2FcBJVfeyVqFjNuXfeHlFA%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,Deep Learning Engineer,Cyberjin,"Denver, CO",not found,"Hybrid/Remote roleLocations in multiple States Ideal candidate traits💪 Enjoys significant ownership over user-facing product🧑‍💻 Can work independently📑 Is comfortable turning research papers into product🧠 Has 2 - 10 years experience with deep learning or has a PhD in a STEM field💨 Builds with a product-first approach. You ship code quickly and care about the real world impact of your code.🐍 Python expertise strongly preferred - however, candidates with deep learning experience in a different language will be considered🔧 Familiarity with Tensorflow preferredPowered by JazzHRSMdCNvoInj",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/data-scientist-at-saransh-inc-3751103542?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=CAFhHh5G6hqR9IChes%2F1tw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist,Saransh Inc,"Boston, MA",not found,"Must have skills: AWS, Glue, Python, SageMakerJob RequirementsMinimum 10+ years of experienceMust have Skillsets – AWS data services, Python, AWS SageMaker, SAS.Ability to build analytical models on Python using AWS data services and SageMaker.3-5 years of experience in building analytical models using Python.Experience in converting analytical models in legacy systems (such as SAS) to modern cloud-based systems.Experience in building data pipelines and data conversion activities.Good understanding of semi structured data formats.Experience in building and deploying analytical models on SageMaker.Experience in using AWS data services such as S3, Glue and Athena.Experience with any data ingestion or data integration tools (Informatica, DataStage, Matillion etc) would be desirable.",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting and Information Services
https://www.linkedin.com/jobs/view/senior-data-scientist-at-sofi-3757406772?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=AzRHJm8z1vNg1C8QglJ8ZA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,Senior Data Scientist,SoFi,"Charlotte, NC","$118,400.00
            -
            $222,000.00","Employee Applicant Privacy NoticeWho we are:Shape a brighter financial future with us.Together with our members, we’re changing the way people think about and interact with personal finance.We’re a next-generation fintech company using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to work every day knowing that what we do has a direct impact on people’s lives, with our core values guiding us every step of the way. Join us to invest in yourself, your career, and the financial world.The roleSoFi’s Credit team manages credit risk activities for our lending products (Student Loan Refinance, Private Student Loan, Personal Loan, Credit Card, and Mortgage) - including credit strategies/policies for new account origination, income and employment verification, portfolio management, collections/recovery strategies and operations, and risk and operational data science and analytics. The team designs data-driven strategies to ensure the growth in lending is consistent with the company’s risk appetite and helps create the products and experiences that put our members’ interests first.The Senior Credit Strategy Analyst / Senior Data Scientist will work in the Credit team and have responsibilities to analyze and evaluate data to develop and propose value-added credit risk strategies for SoFi’s lending products, including Personal Loan, Student Loan Refinance, Private Student Loan, and Credit Card. The initial focus of the role will be on income and employment verification strategy for Personal Loan, Student Loan Refinance, and Private Student Loan, but the candidate may get opportunities to work on other functions in the future.The Senior Credit Strategy Analyst / Senior Data Scientist will collaborate with cross-functional teams such as Business Units, Capital Markets, Product, and Engineering, and use business knowledge and quantitative and analytical skills to drive revenue, control risk, and provide value to the company and consumers.The ideal candidate will possess a data-driven analytics background and the strategic acumen to direct a function that draws strategic insights from data using database and statistical analysis tools to inform decisions and support SoFi’s overarching strategic goals relative to loss prevention and profit optimization. They bring new ways of thinking, data sources, technologies, and capabilities to SoFi.What you’ll do: Innovate… Bring your brightest ideas to building risk strategies. This means you will architect the pre-screen, underwriting, and income/employment verification strategies. Data Driven… Your deep analysis will power the future of lending with an optimal real-time data ecosystem – including multi-product internal, bureau, third-party, and alternative data sources and uses. Iterate, learn, innovate… We are all responsible for innovation and must embrace data-driven decisions.Control the Risk and Drive Performance Outcomes … Understand credit risk and develop approaches to mitigate loss and responsibly grow revenue. Monitor the performance of strategies and portfolios. Document and communicate results and escalate issues as necessary. Identify gaps/opportunities and drive actions. Grow, Grow, Grow!… Be inspired by dynamic leaders and our rapidly growing business. We want YOU to be an inspired leader of tomorrow, so we are recruiting the best, brightest, and passionately quantitative team members.What you’ll need:4+ years of related experienceBusiness acumen and work experience in the consumer lending business (loans or credit cards)Direct experience in the credit strategy analytical life cycle, including strategy and decision tree development, presentation, implementation validation, and post-implementation monitoringProven analytical skills in conducting sophisticated analysis using customer performance data, bureau attributes, and other 3rd party variables to solve business problemsProficient skills in Excel, SQL, and PythonA demonstrated ability to synthesize and communicate analysis to business partners and senior managementHigh motivation to drive results, eager to learn, and able to work collaboratively in a fluid environmentKnowledge/skills in analytical and modeling techniques such as Decision Trees, regression, logistic regression, A/B Testing, and TableauPreferred: 4+ years of consumer lending credit strategy work experience; income/employment verification expertise is a plusPreferred: Experience in analyzing and testing credit strategies or models to meet the fair lending requirementsPreferred: Advanced degree (Master’s or PhD) with a quantitative major such as Statistics, Mathematics, Engineering, or Computer ScienceCompensation And BenefitsThe base pay range for this role is listed below. Final base pay offer will be determined based on individual factors such as the candidate’s experience, skills, and location.To view all of our comprehensive and competitive benefits, visit our Benefits at SoFi page!SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.New York applicants: Notice of Employee RightsSoFi is committed to embracing diversity. As part of this commitment, SoFi offers reasonable accommodations to candidates with physical or mental disabilities. If you need accommodations to participate in the job application or interview process, please let your recruiter know or email accommodations@sofi.com.Due to insurance coverage issues, we are unable to accommodate remote work from Hawaii or Alaska at this time.Internal EmployeesIf you are a current employee, do not apply here - please navigate to our Internal Job Board in Greenhouse to apply to our open roles.",Not Applicable,Full-time,Engineering and Information Technology,Financial Services
https://www.linkedin.com/jobs/view/data-scientist-at-attain-3745196602?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=qIVRSRww4pvi9OyQmCnSSA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist,Attain,"Redwood City, CA",not found,"About AttainBuilt for consumers and companies, alike. In a world driven by data, we believe consumers and businesses can coexist. Our founders had a vision to empower consumers to leverage their greatest asset—their data—in exchange for modern financial services. Built with this vision in mind, our platform allows consumers to access savings tools, earned wages and rewards without cost or hidden fees. In exchange, they give permission to use their real-time data for research, insights and targeted advertising.At Attain, your contribution will help us build a more equitable and efficient data sharing ecosystem—whether helping consumers access modern financial services or businesses leverage data to achieve better outcomes. You'll have the opportunity to work directly with hands-on leaders and mission-driven individuals everyday.This role will be on a hybrid schedule (3-days per week in office; 2-days per week remote) based in Redwood City, CA. About The RoleWe are seeking a Data Scientist to join our growing engineering team to play a key role in driving forward our data science and machine learning initiatives across the organization, within our flagship consumer application, Klover. This role will support continuous improvements to areas such as our cash advance underwriting model, our collections methodology, as well as help develop models to improve user retention and reduce churn. Our Data Science team has a direct impact on the data-driven initiatives across Attain. You'll have the opportunity to collaborate with cross-functional teams to develop advanced analytics and machine learning techniques.Preferred Qualifications4+ years of experience working in the financial technology space in either data science or analyticsBachelor's degree in computer science, statistics, mathematics, information management or other related fieldProficiency in languages such as SQL, Python and/or R; data visualization tools such as Looker; and machine learning frameworks such as Vertex AIKnowledge and experience working with Google Cloud Platform suite (e.g. BigQuery, Vertex AI)Proven expertise in leveraging data analytics tools, techniques, and technologies to extract insights and drive data-informed decision-makingExcellent problem-solving skills with the ability to approach complex business challenges from a data-driven perspectiveDemonstrated ability to work in a fast-paced, dynamic environmentWhat a Typical Week Might Look LikeWork in close partnership with engineering, product & finance to make data-driven decisions and provide actionable recommendations on how our collections process should evolveOrganize, analyze and disseminate significant amounts of data and information with attention to detail and accuracyWork in SQL to write efficient and well-structured queries on large data-setsCollaborate with other teams to integrate data science solutions into existing systems and infrastructure. Stay abreast of emerging technologies, trends, and best practices in data analytics to identify innovative opportunitiesAt the end of your first year, you'll have helped usIdentify optimization opportunities across our underwriting and collections processesTransform complex datasets into impactful stories with clear and actionable insightsWe're excited to hear from you. At Attain, we are passionate about finding people to continuously help us grow our organization. We encourage you to apply, even if your experience doesn't match every detail of the job description. If we don't see something that immediately fits, we will keep your resume on file for future opportunities.",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
https://www.linkedin.com/jobs/view/deep-learning-engineer-at-cyberjin-3757435744?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=QaFSPWFw8nmqZQMZOh9JVw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,Deep Learning Engineer,Cyberjin,"Austin, TX",not found,"Hybrid/Remote roleLocations in multiple States Ideal candidate traits💪 Enjoys significant ownership over user-facing product🧑‍💻 Can work independently📑 Is comfortable turning research papers into product🧠 Has 2 - 10 years experience with deep learning or has a PhD in a STEM field💨 Builds with a product-first approach. You ship code quickly and care about the real world impact of your code.🐍 Python expertise strongly preferred - however, candidates with deep learning experience in a different language will be considered🔧 Familiarity with Tensorflow preferredPowered by JazzHRXz5pTnCemz",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/data-scientist-entry-level-at-hiremefast-llc-secure-your-next-job-career-accelerator-3757196876?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=knUOZjILh2L%2FF28exeYSOQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist (Entry Level),HireMeFast LLC - Secure Your Next Job - Career Accelerator,"New York, NY",not found,"This is a remote position.Job Title: Data Scientist (Entry Level)Location of client: New York, New YorkEmployment Type: Full-TimeSalary: $64,000 - $77,000 per annumExperience Required: Minimum 1 year of project experienceWork Arrangement:  Fully remote positionHow to Apply: visit hiremefast.net to learn more & apply with your resume and cover letter there on the website.About us: HireMeFast is a leading staffing and recruitment agency specializing in connecting businesses with top-tier talent across various industries. Our mission is to bridge the gap between exceptional candidates and organizations needing their skills, expertise, and unique qualities.Our team of experienced and dedicated recruitment specialists utilizes innovative sourcing strategies, and a vast network to identify and attract top talent. We conduct comprehensive procedures to ensure that only the most qualified candidates are presented to our clients.RequirementsResponsibilities:Partner with engineers, product managers, and business partners to identify algorithmic problems, brainstorm possible approaches, and recommend the best path forward. Develop algorithms iteratively, building in the right level of complexity to solve the business problem at hand and support future improvements. Define success criteria for your models so that you can measure impact and changes over time. You'll be expected to communicate findings and drive continuous improvements. Collaborate with Software Engineers to implement algorithms in production that scale gracefully. Collaborate with stakeholders to prioritize projects and define requirements. Carry out analysis of data produced by our hardware systems and create insightful visualizations to share your findings. Contribute to internal libraries to help other teams with their data science needs including visualization, prediction, optimization, and inference. Requirements & Experience:Advanced proficiency with Python and libraries commonly used for data analysis, e.g., Pandas, NumPy, SciPy, and Matplotlib. Strong understanding of data modeling and statistical analysis. Knowledge of optimization and predictive modeling techniques and experience applying them to real-world problems. Skilled at translating a general question or problem into a clearly defined algorithmic solution. Ability to communicate clearly with both technical and non-technical audiences. Ability to work independently and manage multiple projects simultaneously. Nice to haves:1-year Experience with Data Bricks or PySpark 1 year Experience with product ionizing data models BenefitsSpecial Benefits you will love:Flexible vacation, unlimited paid holidays, and paid sick days 401(k) with up to 2% employer match Health, vision, and dental insurance Why HireMeFast LLC?At HireMeFast, we understand that finding the right individuals to join your team is crucial for success and growth of your organization. We are committed to streamlining the hiring process for our clients, ensuring they have access to a diverse pool of highly qualified candidates who are a perfect fit for their specific needs.",Entry level,Full-time,Engineering and Information Technology,Software Development
https://www.linkedin.com/jobs/view/data-scientist-at-nucleix-ltd-3744925442?refId=ZEt8dPKkcgUrJSZvJYL8WQ%3D%3D&trackingId=oU5EjheQ6KFuSM%2Fhmyl47w%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,Data Scientist,Nucleix Ltd.,"San Diego, CA",not found,"About Nucleix:Nucleix is at the forefront of advancing medical diagnostics. Our innovative assay technology is contributing to new standards in lung cancer screening, aiming towards a future where early detection is the norm, not the exception. Our mission, while ambitious, has a deeply meaningful impact. We aim to detect lung cancer at its earliest stages with just a single tube of blood, striving to make healthcare more accessible to all. The journey at Nucleix is not only about the blend of rigorous science and novel technology in our assay, but also about our dedicated team members who are committed to changing the course of lung cancer diagnosis.As we progress, we are in search of a Data Scientist to play a pivotal role in this significant mission. You will be part of efforts centered around groundbreaking medical innovations, contributing tangibly to the global fight against lung cancer. The work, while demanding, is immensely rewarding with every project aimed at exploring the extents of what’s achievable in cancer screening.You have a solid mathematical foundation and adeptness in deploying the machine learning techniques. You know the classics like SVM or XGBoost, but you also know that “attention is all you need”. For you LLM’s are not a threat but an opportunity to be more efficient and creative.At Nucleix, you'll immerse yourself in a stimulating environment alongside some of the brightest minds in the field. Our team is a hub of innovation, each member contributing a wealth of expertise and a relentless drive for exploration and excellence. In our culture of open collaboration and continuous learning, every voice is valued. The accessibility of senior management, including the CEO, fosters a conducive environment for sharing ideas and insights. Your contributions will not only be recognized but will play a critical role in advancing our mission, making a lasting impact in the global fight against lung cancer.  -------------------------------------------------------------------------------------------------------------------------- Key Responsibilities:Spearhead the creation and implementation of AI and ML strategies and algorithms aimed at identifying markers and marker panels for future clinical tests.Innovate and implement effective data visualization techniques for both internal and external stakeholders.Conduct ad-hoc data analyses to glean critical insights that propel our mission forward.Champion projects from inception through to fruition, ensuring alignment with defined requirements and seamless implementation.Collaborate closely with cross-functional teams (Software, Research, Product Development, Clinical, Quality, and Regulatory) to understand project requisites and drive implementation.Initiate and lead regular stakeholder meetings to advance project objectives, ensuring timely updates to management on project status, progress, and challenges.Ensure projects are on schedule, meet defined requirements, and are well-documented in compliance with Nucleix’s Quality Management System. Qualifications:MSc. in Computer Science / Physics / Mathematics / EngineeringBSc. Candidates with extensive experience and knowledge will also be considered3+ years’ industry experience as a data scientist / bioinformatician working on biological dataProven expertise in developing machine learning models with a strong mathematical foundation.Fluid in the main data science languages and tools (i.e. Python, R, SQL, Tensorflow)Solid knowledge of cloud environments such as Amazon's AWSExperience in data visualization and conducting comprehensive data analyses.Expertise in NGS data and pipelines is a plusAbility to collaborate and communicate effectively across multidisciplinary teams.Exceptional organizational skills with a keen eye for detail.",,Full-time,,
